	Input.Article	Article.wd	Input.Fact	fact.wd	goodTrivia	knew	surprising	transe, ap/ap	transe, c/c	transe, ap/c	random-2	random-1	frequency	profile-transe, ap/ap	profile-transe, c/c	profile-transe, ap/c	complex, ap/ap	complex, c/c	complex, ap/c	profile-complex, ap/ap	profile-complex, c/c	profile-complex, ap/c	text1024, ap/ap	text1024, c/c	text1024, ap/c	H, ap/ap	H, c/c	H, ap/c	A, ap/ap	A, c/c	A, ap/c	S, ap/ap	S, c/c	S, ap/c	LP-transe-avg-lhs-cos	LP-transe-avg-rhs-cos	LP-transe-max-lhs-cos	LP-transe-max-rhs-cos	LP-transe-centroid-rhs-cos	LP-complex-avg-lhs-cos	LP-complex-avg-rhs-cos	LP-complex-max-lhs-cos	LP-complex-max-rhs-cos	LP-complex-centroid-rhs-cos	LP-profile-transe-avg-lhs-cos	LP-profile-transe-avg-rhs-cos	LP-profile-transe-max-lhs-cos	LP-profile-transe-max-rhs-cos	LP-profile-transe-centroid-rhs-cos	LP-profile-complex-avg-lhs-cos	LP-profile-complex-avg-rhs-cos	LP-profile-complex-max-lhs-cos	LP-profile-complex-max-rhs-cos	LP-profile-complex-centroid-rhs-cos
10	Alec Baldwin	Q170572	Alec Baldwin is in the group of 20th-century American male actors	P27=Q30,P21=Q6581097,P106=Q33999	-1.8	2.0	-1.8	1.2422344886986616	1.5831397826495075	2.2255615859227498	0.017156940019316225	0.4905307332367208	5.242463958060288e-05	1.277054985651325	1.6022060949004373	2.4426839909367137	1.2516390584650798	1.547376707762722	2.256587036183789	1.174994231874656	1.365718782455014	2.2369441524820113	0.8802396219258914	0.7572819497939998	1.6767031205454737	0.8008933332251138	0.4842906997389261	1.3129287931120515	0.9972858043065204	0.9910583407219818	1.4073499345750005	0.9480022252299944	0.8111551424208516	1.3088143362387408	0.9556271495918433	0.9489596299827099	0.9719299338757992	0.9710582531988621	0.9313375949859619	0.9625301156193018	0.9772598901763558	0.9689797516912222	0.9896477917209268	0.966011755168438	0.9424971826374531	0.872332900762558	0.9624603129923344	0.9222731292247772	0.8313849419355392	0.9243677854537964	0.9176919957002004	0.9351891949772835	0.9613887742161751	0.9112315326929092
11	Alec Baldwin	Q170572	Alec Baldwin is in the group of Outstanding Performance by a Lead Actor in a Comedy Series Primetime Emmy Award winners	P166=Q989442	-0.8	0.4	-1.0	0.9101362275140894	1.154167424799061	1.9846155067338465	0.6670208166821177	0.22230628314247436	0.16666666666666666	0.9786165467214163	1.3686470744350512	2.2263077901415067	1.0251702767986752	1.4941391910308393	2.279428531666494	0.8455968933622288	1.0260420838976734	1.920764113017199	0.7472517842549545	0.7810355545262849	1.7259866114746827	0.8070164297978454	0.9282439548638706	1.8318790892385752	1.0454691618605547	1.7079701995184444	1.9648916966981886	0.9064963372995967	1.2126891373353146	1.6291134673542458	0.9028119519352913	0.8766207545995712	0.9028119519352913	0.8766207545995712	0.8766207545995712	0.9363101348280907	0.9622583203017712	0.9363101348280907	0.9622583203017712	0.9622583203017712										
12	Alexander Hamilton	Q178903	Alexander Hamilton is in the group of Inspectors General of the United States Army	P39=Q104238320	-0.2	-0.4	-0.2	inf	inf	inf	0.7878153887629006	0.20372248358493983	1.0	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.9406292103230953	1.0349656529724598	0.9406292103230953	1.0349656529724598	1.0349656529724598	1.0289075523614883	1.0111760217696428	1.0289075523614883	1.0111760217696428	1.0111760217696428										
13	Alicia Vikander	Q439314	Alicia Amanda Vikander (born 3 October 1988) is a Swedish actress, producer and dancer.	P27=Q34,P21=Q6581072,P106=Q33999,P106=Q3282637,P106=Q5716684	-0.8	-1.2	-0.8	inf	inf	inf	0.36169050604974584	0.07338440964309956	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.9250813961029053	0.9515138432383538	0.9633165337145329	0.9631113931536674	0.9401997998356819	0.9528961658477784	0.965551108494401	0.9728992395102978	0.9718548972159624	0.9550058469176292	0.9453102082014084	0.8747659265995026	0.9677382186055183	0.9147585481405258	0.8508715033531189	0.9121845826506615	0.914174298197031	0.930804967880249	0.9442650750279427	0.8860099539160728
14	Alicia Vikander	Q439314	Alicia Vikander is in the group of Best Actress Empire Award winners	P166=Q3724813	0.0	-2.0	-0.8	1.303728683932902	2.219286435339824	2.920506432948562	0.6829251979873558	0.7907586004208668	0.16666666666666666	1.0636296707262163	1.6189326495692942	2.3408714711894043	1.1965471654980935	1.9305293552113534	2.669870782450357	1.097877993148637	1.6870006873473944	2.4613063962163415	0.8729415629458772	1.1017295428123344	2.0184074720878598	1.3306365925317494	2.2686174068217944	3.018831625796057	1.0152759463244312	1.5116239468213668	1.7704676072864238	1.042881774822076	1.660220627561033	2.023336746943634	0.908690445125103	0.9133392944931984	0.908690445125103	0.9133392944931984	0.9133392944931984	0.9050929248332977	0.9665654189884663	0.9050929248332977	0.9665654189884663	0.9665654189884663										
15	Alicia Vikander	Q439314	Alicia Vikander is in the group of Outstanding Performance by a Female Actor in a Supporting Role Screen Actors Guild Award winners	P166=Q1320315	-1.2	-1.2	-1.2	1.256492969758903	1.928879133877867	2.652132674424278	0.5177935081039069	0.06808321445393384	0.125	1.120707434942999	1.593256265161053	2.3415010884993803	1.1211477664577447	1.626245371504065	2.355645225873379	1.1998154550423719	1.7991126713797974	2.5367227882675603	0.7421156814885718	0.6748016559659729	1.5762955929711795	1.2770052969297838	1.9878216786826837	2.739793065064884	1.0529831878476574	1.6352671375945091	1.813268578651115	1.0325631931510637	1.4532221426850311	1.9260905958968482	0.9531595483422279	0.9475271441042423	0.9531595483422279	0.9475271441042423	0.9475271441042423	0.9302632287144661	0.9615260772407055	0.9302632287144661	0.9615260772407055	0.9615260772407055										
16	Alicia Vikander	Q439314	Alicia Vikander is in the group of Royal Swedish Ballet dancers	P69=Q2742632	0.2	-2.0	0.2	2.3962802690723386	8.74720304054176	9.381794251385589	0.7623100186833655	0.7993617541930564	0.5	1.5362889924704195	5.230789143772165	6.021256106535704	2.412704340318237	8.832473021037034	9.430293171723815	1.4972201164277334	5.062498498698256	5.890000314118518	1.7231597265621243	5.992995694123697	6.756407733537808	1.1974712478070126	3.979812521394976	4.512306311967275	1.4007867968492	4.930014643319892	5.117993770896793	0.9953379619930871	3.2500967203024707	3.495351218830977	0.8715569227933884	0.9343724995851517	0.8715569227933884	0.9343724995851517	0.9343724995851517	0.9188157394528389	0.9491188041865826	0.9188157394528389	0.9491188041865826	0.9491188041865826										
17	Aly Raisman	Q238663	Aly Raisman is in the group of American female artistic gymnasts	P27=Q30,P21=Q6581072,P106=Q13381572	-1.6	-0.4	-1.6	1.049536210076892	1.1233035322489215	1.927891892223549	0.6059507486696949	0.48919502741272125	0.004405286343612335	0.9290240761657851	0.8497794393565015	1.7892185349494893	1.1397510503452482	1.3086624533734132	2.153063634020475	1.0035932914598549	1.0215274502206926	1.9376858628354212	2.2756857363191663	3.611472072793695	4.445445629026072	0.9940105657944328	0.9922280408180567	1.6816019782987714	0.9442617613402169	0.8089047558389848	1.3620546919558805	0.9623364317206915	0.8731966110017846	1.3603007711396464	0.9339284213880698	0.932050837824742	0.9466611184179783	0.9393722824752331	0.914362333714962	0.950879110644261	0.9514734782278538	0.9647700823843479	0.9668111950159073	0.9466719999909401	0.9508501645177603	0.8313157521188259	0.9549644291400909	0.8919064626097679	0.7872131913900375	0.9102338701486588	0.8963674008846283	0.9184654578566551	0.9134514927864075	0.8701223582029343
18	Aly Raisman	Q238663	Aly Raisman is in the group of Jewish gymnasts	P140=Q9268,P106=Q16947675	-1.2	0.4	-1.2	inf	inf	inf	0.7954208849555019	0.8211388843536824	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.9438749235123396	0.9376673605293036	0.9493375606834888	0.9458161182701588	0.9268635660409927	1.0550965732109034	1.1287385877221823	1.1097890213131905	1.2481492012739182	1.1343164443969727										
19	Amber Heard	Q229166	Amber Heard is in the group of 21st-century American actresses	P27=Q30,P21=Q6581072,P106=Q33999	-1.4	2.0	-1.4	0.9328057965444213	0.851058404378049	1.6697636064076187	0.3860203786567572	0.6015605276635001	6.668444918644971e-05	1.1691663209006777	1.3778444683935027	2.2426129421401355	1.1056992025433994	1.225468774142114	2.0196702986605803	0.8521222200486327	0.7001916327958139	1.6398689391900092	0.880147029517294	0.7448547173336925	1.675916395540367	0.8379542576437291	0.590280236154982	1.384543480679467	0.9682462620741319	0.9127006827621097	1.3664333611843955	0.9116145998809515	0.6919406964013599	1.2776663016612255	0.9552228314181169	0.9244195905824503	0.9670960158109665	0.9394825808703899	0.9091579765081406	0.9445407601694266	0.9585516874988874	0.9633915647864342	0.9654655642807484	0.9497370272874832	0.9448789196709791	0.8449077208836874	0.9614964053034782	0.8981455564498901	0.807134360074997	0.902878575026989	0.8974875112374624	0.9293274208903313	0.9296288415789604	0.8782472610473633
20	Amber Heard	Q229166	Amber Heard is in the group of American television actresses	P27=Q30,P21=Q6581072,P106=Q10798782	-1.5	2.0	-1.0	0.922669437636179	0.8268545182484281	1.6570916841267695	0.11699603260628888	0.8705528971570127	0.00012973533990659055	1.1651203260161493	1.3638409628148527	2.23357524895686	1.0737170257424018	1.1540996336830311	1.9562032678637384	0.8532050731467992	0.6946703629323476	1.6353756761028593	0.9951565175826786	0.9941684714385711	1.932053640249181	0.8162900804756508	0.5563141797166934	1.3917094125369815	0.9735753432287465	0.9371803317616137	1.3806310852512205	0.9076825114873066	0.6889302388231427	1.290200717860652	0.9495998211205006	0.9061821773648262	0.9550529383122921	0.9204003363847733	0.8805153146386147	0.945286343495051	0.9591553521653017	0.9656283147633076	0.9672765582799911	0.9543624669313431	0.9476559000710646	0.8337539285421371	0.9614964053034782	0.8646841794252396	0.7920889407396317	0.9019110600153605	0.898860864341259	0.9264248758554459	0.9337489008903503	0.8921163082122803
21	Ariana Grande	Q151892	Ariana Grande is in the group of American female pop singers	P27=Q30,P21=Q6581072,P106=Q177220,P136=Q37073	-1.2	1.2	-1.2	1.1366838352009692	1.3180238066056589	2.0400362521344295	0.03982723759925655	0.18479970361639841	0.0012690355329949238	2.0005703843898073	3.113390361577966	3.8443560857200483	1.2441774594853272	1.5122884271917565	2.2822265144006137	1.3616723066802392	1.7724408923875439	2.614225535031671	0.992698154139515	0.9955422519816698	1.8807817264721434	0.9476552663255039	0.8619597194008278	1.5943339967149983	0.9733245811508646	0.9219166000537192	1.3892487642955844	0.8830952963956631	0.6374625448540127	1.299914874870723	0.969400420319289	0.9043497918173671	0.9845341127365828	0.9502019844949245	0.8636578321456909	0.9419768489897251	0.9667057381011546	0.966578796505928	0.9729518312960863	0.9526472203433514	0.948418369051069	0.8884825278073549	0.9774522352963686	0.9731429517269135	0.8536693453788757	0.9021078236401081	0.9386719334870577	0.9308135583996773	0.9609848782420158	0.9302658662199974
22	Arnold Schwarzenegger	Q2685	Arnold Schwarzenegger is in the group of American athlete-politicians	P27=Q30,P106=Q15982795|P106=Q23845879,P106=Q82955 	-1.0	2.0	-1.4	inf	inf	inf	0.6845776550826917	0.6983905757136118	1.0	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.9462826517410576	0.9525220915675163	0.9805316347628832	0.9832270368933678	0.9449488706886768	0.9792206934653223	0.9845217182300985	1.0177518017590046	1.0157414507120848	0.9850187180563807	0.9667051080614328	0.8864830434322357	0.9768514409661293	0.89787457883358	0.865507572889328	0.9362710565328598	0.9313820507377386	0.9482094645500183	0.9575114287436008	0.9284976869821548
23	Arnold Schwarzenegger	Q2685	Arnold Schwarzenegger is in the group of Austrian real estate businesspeople	P27=Q40,P106=Q519076,P106=Q43845	0.0	-1.2	0.6	inf	inf	inf	0.3134543552332335	0.39766170834347014	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.9537295531481504	0.955247426405549	0.9772531520575285	0.9726912099868059	0.946990467607975	0.9652595290293297	0.97043762045602	0.973156301304698	0.9805477615445852	0.9539783373475075	0.9740850459784269	0.9082241058349609	0.975541977211833	0.923786073923111	0.8857612013816833	0.915744986385107	0.9361146297305822	0.9351643919944763	0.9464942552149296	0.9158791154623032
24	Ben Affleck	Q483118	Ben Affleck is in the group of American poker players	P27=Q30,P106=Q15295720	0.8	0.4	0.4	1.5380909277353236	2.2076024017743063	2.800753329597792	0.92397184601504	0.7497098124774237	0.001838235294117647	1.6372960965972472	2.335061635326213	3.1103575978395255	1.5888332673957664	2.2481868606495685	2.9529737990931966	1.3625979460952966	1.7578166617050532	2.5930688355017146	3.1837270188636086	5.519408831155647	6.184151577000234	1.1148177689997179	1.2909849993917388	1.8540852068443738	1.018192325970417	1.060126290784969	1.4719555651489675	0.9532135243788427	0.8127095425430915	1.2708362228245964	0.9215115085244179	0.9441062230616808	0.9281492531299591	0.9522432871162891	0.9400665052235126	0.9568032007664442	0.9677926488220692	0.9599954187870026	0.9679358601570129	0.9625041335821152	0.9475161656737328	0.8177973628044128	0.9475161656737328	0.8177973628044128	0.8177973628044128	0.9175183176994324	0.8896691203117371	0.9175183176994324	0.8896691203117371	0.8896691203117371
25	Ben Affleck	Q483118	Ben Affleck is in the group of Directors Guild of America Award winners	P166=Q1111310	-0.8	-1.2	-0.4	1.0804616404244716	1.2222758129477995	1.9212638631149115	0.33438507524356254	0.04357660019148235	0.006024096385542169	1.0667880898047941	1.1453032378724013	1.9487157942339244	1.0972149291112956	1.2166075871769655	1.9714609300276786	0.9125925355091006	0.8062681942812934	1.6880937950496966	1.2538269460716711	1.5318098443957953	2.3958406978237554	0.7746802489872883	0.487863055783402	1.3567406642582938	1.0580563996228889	1.2019342544069604	1.537651536990091	0.9383181107301577	0.840626150724755	1.3752470279431086	0.9051777720451355	0.8931574076414108	0.9051777720451355	0.8931574076414108	0.8931574076414108	0.9720214176923037	0.9611003138124943	0.9720214176923037	0.9611003138124943	0.9611003138124943										
26	Bernie Sanders	Q359442	Bernie Sanders is in the group of American filmmakers	P27=Q30,P106=Q1414443|P106=Q2526255	0.6	-2.0	0.6	1.451666970776943	2.0326901068990084	2.5696710524693573	0.6447358850580294	0.6824508546344845	0.00012156576707999027	1.381672879850415	1.8211816258006237	2.6077756266759198	1.2867584609192344	1.6377101958803493	2.2994670982188117	1.1019147256733846	1.2094448019974817	2.082869153035445	1.938539406985728	2.9669700391338045	3.6846404730196918	1.2081347507405948	1.5294148172865003	2.002003008938101	1.0293895034361458	1.0778248919416116	1.4582071954988345	0.9869069594588596	0.9504692705310935	1.3787904528657142	0.9758726436411962	0.9909898854481677	1.0212280582636595	1.0354699455201626	0.991478068754077	1.0706937337915103	1.103028913338979	1.1470228433609009	1.1843500584363937	1.1517364978790283	0.952504176646471	0.8687964268028736	0.9591066315770149	0.9578927084803581	0.8512177169322968	0.9657753137871623	0.9584901239722967	1.0126240011304617	1.035492803901434	0.9893747791647911
27	Beyonce	Q36153	Beyonce is in the group of American rhythm and blues singer-songwriters	P27=Q30,P136=Q45981,P106=Q488205	-1.0	1.2	-1.8	1.0272620022933923	1.0843219185907687	1.8537845313684704	0.33897793209256866	0.9951698287713827	0.005376344086021506	1.8357765849638714	2.800850637943892	3.4784329567772896	1.1249287552470992	1.2731212183052012	2.03737873967091	1.3731986895355721	1.7970565060925714	2.6049637085400073	1.3534411030232631	1.7516704906882639	2.570655852788027	0.8500693699415791	0.6521844031418293	1.4762746614099769	0.9997075654964251	1.040063223561012	1.4403669316441892	1.3563154062707796	2.0349688197052838	2.1151439596533996	0.9365890311698118	0.9251657004157702	0.949408758431673	0.9619776085019112	0.9058375060558319	0.8901565298438072	0.8960900182525317	0.9222033470869064	0.9316982254385948	0.8657731860876083	0.965855285525322	0.8381078764796257	0.9817096143960953	0.8841855376958847	0.815837025642395	0.9410131871700287	0.9352054037153721	0.9573458582162857	0.9575187638401985	0.936384879052639
28	Beyonce	Q36153	Beyonce is in the group of Columbia Records artists	P264=Q183387	-1.6	1.2	-1.6	0.9992665333214631	0.9961545772556908	1.7323584159792833	0.25985225649661636	0.294289364319967	0.0008149959250203749	1.2869752812805002	1.660276686489803	2.3385152333548667	1.0845168211391518	1.1668478203499852	1.9269621582560617	1.0747797747742696	1.1694649382994267	1.96563569613025	1.065169617827684	1.1510369800339568	1.9796775774292905	0.8486677346136221	0.6181561637974745	1.406456380913441	1.034213040939583	1.121479332816855	1.4712705070199694	1.2111332747242183	1.6892361048215918	1.744614650353255	0.9015911445021629	0.9520701691508293	0.9015911445021629	0.9520701691508293	0.9520701691508293	0.8876895681023598	0.882854200899601	0.8876895681023598	0.882854200899601	0.882854200899601										
29	Beyonce	Q36153	Beyonce is in the group of Shoe designers	P106=Q67175841	-0.4	-1.2	-1.0	1.6704230632811015	2.7076599396516783	3.1093238882022565	0.4903486244262487	0.11084510090688304	0.038461538461538464	1.234425669405041	1.6602225240396777	2.2445542310663127	1.4745301912139428	2.199360872214126	2.7719853416351756	1.1493314453598542	1.4298357629577434	2.1466059984723342	1.777616604004684	2.7871606772239454	3.516149925136204	1.2563359865751198	1.8086252054243328	2.129708848536358	1.0108682970197982	1.1787368899524657	1.5394065645400088	1.1865788816830334	1.7706081198882186	1.7199494218685518	0.9662741310894489	0.997930463636294	0.9662741310894489	0.997930463636294	0.997930463636294	1.1212403029203415	1.1281702518463135	1.1212403029203415	1.1281702518463135	1.1281702518463135										
